23682,-0.31,0.38,9.44,0.00,0.12,0.00,359.94,-1.69,-2.38,5864,12464,-33033,-33144,-33468,-34500
23780,-0.26,0.40,9.47,-0.06,0.00,0.00,359.94,-1.69,-2.38,5780,12470,-33077,-33095,-33389,-34503
23880,-0.25,0.37,9.47,-0.06,0.06,0.06,359.94,-1.69,-2.38,5815,12437,-32912,-32964,-33374,-34512
23981,-0.30,0.36,9.47,-0.06,0.12,0.00,359.94,-1.69,-2.38,5723,12470,-32965,-33129,-33315,-34690
24080,-0.27,0.39,9.46,0.06,0.00,-0.06,359.94,-1.69,-2.38,5583,12420,-32876,-33120,-33530,-34417
24180,-0.29,0.37,9.47,0.06,0.00,-0.06,359.94,-1.69,-2.38,5768,12490,-32854,-33070,-33466,-34348
24281,-0.25,0.38,9.43,0.12,0.00,0.12,359.94,-1.69,-2.38,5789,12398,-32612,-32975,-33242,-34403
24380,-0.28,0.40,9.42,-0.19,0.00,0.06,359.94,-1.69,-2.38,5750,12452,-32635,-32792,-33172,-34536
24480,-0.30,0.41,9.42,-0.06,0.25,-0.06,359.94,-1.69,-2.38,5826,-8382382,-32658,-33122,-33276,-34376
24581,-0.26,0.36,9.48,-0.12,0.06,0.06,359.94,-1.69,-2.38,5793,12281,-32704,-33077,-33260,-34244
24681,-0.30,0.41,9.48,0.06,-0.06,0.00,359.94,-1.69,-2.38,5798,12596,-32780,-33147,-33162,-34365
24781,-0.27,0.36,9.48,0.06,-0.06,-0.06,359.94,-1.69,-2.38,5622,12404,-32907,-32959,-33430,-34699
24882,-0.26,0.41,9.46,0.00,0.00,0.06,359.94,-1.69,-2.38,5828,12414,-33104,-33316,-33081,-34497
24982,-0.28,0.40,9.46,0.00,-0.12,0.06,359.94,-1.69,-2.38,5662,12479,-33109,-33252,-33497,-34410
25082,-0.22,0.33,9.49,-0.06,-0.25,0.06,359.94,-1.69,-2.38,5823,12541,-33113,-33096,-33365,-34550
25183,-0.27,0.39,9.43,-0.06,-0.25,0.06,359.94,-1.69,-2.38,5882,12499,-32897,-32895,-33232,-34486
25283,-0.19,0.40,9.44,-0.12,0.06,0.06,359.94,-1.69,-2.38,5841,12422,-32343,-32171,-32832,-34189
25383,-0.42,0.35,9.40,0.00,0.25,0.06,359.94,-1.69,-2.38,5834,12495,-31373,-31865,-32579,-33875
